INFO 2015-09-28 21:09:51,709 writers 25993 -1261003888 starting to write bonus for sale #5398
INFO 2015-09-28 21:09:51,727 writers 25993 -1261003888 starting to write bonus for sale #5399
INFO 2015-09-28 21:09:51,774 writers 25993 -1261003888 starting to write bonus for sale #5403
INFO 2015-09-28 21:09:51,792 writers 25993 -1261003888 starting to write bonus for sale #5404
INFO 2015-09-28 21:10:11,473 writers 25993 -1261003888 starting zilberAddsFlows
INFO 2015-09-28 21:10:19,799 writers 25993 -1261003888 starting zilberBonusFlows
DEBUG 2015-09-28 21:10:19,800 writers 25993 -1261003888 {'base_madad': 126.90000000000001}
INFO 2015-09-28 21:10:19,800 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 8-2015
INFO 2015-09-28 21:10:20,574 writers 25993 -1261003888 starting to write bonus for sale #5607
INFO 2015-09-28 21:10:20,592 writers 25993 -1261003888 starting to write bonus for sale #5608
INFO 2015-09-28 21:10:20,610 writers 25993 -1261003888 starting to write bonus for sale #5609
INFO 2015-09-28 21:10:20,628 writers 25993 -1261003888 starting to write bonus for sale #5610
INFO 2015-09-28 21:10:20,675 writers 25993 -1261003888 starting to write bonus for sale #5611
INFO 2015-09-28 21:10:20,693 writers 25993 -1261003888 starting to write bonus for sale #5612
INFO 2015-09-28 21:10:20,711 writers 25993 -1261003888 starting to write bonus for sale #5613
INFO 2015-09-28 21:10:20,760 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 7-2015
INFO 2015-09-28 21:10:21,004 writers 25993 -1261003888 starting to write bonus for sale #5538
INFO 2015-09-28 21:10:21,022 writers 25993 -1261003888 starting to write bonus for sale #5542
INFO 2015-09-28 21:10:21,072 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 6-2015
INFO 2015-09-28 21:10:21,898 writers 25993 -1261003888 starting to write bonus for sale #5469
INFO 2015-09-28 21:10:21,916 writers 25993 -1261003888 starting to write bonus for sale #5470
INFO 2015-09-28 21:10:21,962 writers 25993 -1261003888 starting to write bonus for sale #5471
INFO 2015-09-28 21:10:21,979 writers 25993 -1261003888 starting to write bonus for sale #5472
INFO 2015-09-28 21:10:21,997 writers 25993 -1261003888 starting to write bonus for sale #5473
INFO 2015-09-28 21:10:22,015 writers 25993 -1261003888 starting to write bonus for sale #5474
INFO 2015-09-28 21:10:22,061 writers 25993 -1261003888 starting to write bonus for sale #5475
INFO 2015-09-28 21:10:22,079 writers 25993 -1261003888 starting to write bonus for sale #5476
INFO 2015-09-28 21:10:22,097 writers 25993 -1261003888 starting to write bonus for sale #5502
INFO 2015-09-28 21:10:22,120 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 5-2015
INFO 2015-09-28 21:10:22,529 writers 25993 -1261003888 starting to write bonus for sale #5398
INFO 2015-09-28 21:10:22,575 writers 25993 -1261003888 starting to write bonus for sale #5399
INFO 2015-09-28 21:10:22,594 writers 25993 -1261003888 starting to write bonus for sale #5403
INFO 2015-09-28 21:10:22,612 writers 25993 -1261003888 starting to write bonus for sale #5404
INFO 2015-09-28 21:10:23,829 writers 25993 -1261003888 starting zilberAddsFlows
INFO 2015-09-28 21:10:38,259 writers 25993 -1261003888 starting zilberBonusFlows
DEBUG 2015-09-28 21:10:38,260 writers 25993 -1261003888 {'base_madad': 127.3}
INFO 2015-09-28 21:10:38,260 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 8-2015
INFO 2015-09-28 21:10:38,521 writers 25993 -1261003888 starting to write bonus for sale #5650
